date,fit
2020-01-13,1.0472067133724413e-34
2020-01-14,1.2087974034092808e-34
2020-01-29,1.39532256987102e-34
2020-01-30,1.610629761861151e-34
2020-01-31,1.8591602299049048e-34
2020-02-02,2.1460405378738024e-34
2020-02-23,2.477188311215783e-34
2020-02-27,2.859434302813229e-34
2020-02-28,3.3006632943831743e-34
2020-03-01,3.809976739864263e-34
2020-03-02,4.397880505718001e-34
2020-03-03,5.076501580758598e-34
2020-03-04,5.859838225694851e-34
2020-03-05,6.764048722345396e-34
2020-03-06,7.807784678703676e-34
2020-03-07,9.012575765105044e-34
2020-03-08,1.0403273817643852e-33
2020-03-09,1.200856546958667e-33
2020-03-10,1.3861563885089515e-33
2020-03-11,1.6000491801210237e-33
2020-03-12,1.8469469967669724e-33
2020-03-13,2.1319427247908238e-33
2020-03-14,2.4609151154552504e-33
2020-03-15,2.8406500489221215e-33
2020-03-16,3.278980510040217e-33
2020-03-17,3.784948163292172e-33
2020-03-18,4.368989859788181e-33
2020-03-19,5.043152923481261e-33
2020-03-20,5.8213436574216874e-33
2020-03-21,6.719614196115032e-33
2020-03-22,7.756493621032731e-33
2020-03-23,8.953370169362551e-33
2020-03-24,1.0334932420012482e-32
2020-03-25,1.1929678557435277e-32
2020-03-26,1.3770504218116518e-32
2020-03-28,1.5895381045533556e-32
2020-03-29,1.834813995048221e-32
2020-03-30,2.117937523347877e-32
2020-04-01,2.4447488219028168e-32
2020-04-02,2.8219891929331035e-32
2020-04-03,3.2574401646844505e-32
2020-04-06,3.760084004953522e-32
2020-04-07,4.340289002876248e-32
2020-04-09,5.01002334088048e-32
2020-04-11,5.783101968448085e-32
2020-04-13,6.675471570076656e-32
2020-04-16,7.70553950561934e-32
2020-04-17,8.894553508221823e-32
2020-04-18,1.0267039972078157e-31
2020-04-20,1.1851309870789049e-31
2020-04-21,1.3680042742156838e-31
2020-04-23,1.5790960785567421e-31
2020-04-27,1.8227606976907302e-31
2020-05-04,2.1040243251586355e-31
2020-05-08,2.428688728294257e-31
2020-05-11,2.8034509242182115e-31
2020-05-12,3.236041322602835e-31
2020-05-18,3.7353831847487693e-31
2020-05-21,4.311776688216397e-31
2020-05-25,4.977111393806512e-31
2020-05-27,5.745111497554296e-31
2020-06-02,6.631618926673696e-31
2020-06-03,7.654920119015697e-31
2020-06-27,8.836123226685904e-31
2020-06-29,1.0199593524591554e-30
2020-07-03,1.177345600531064e-30
2020-07-07,1.3590175527562113e-30
2020-08-10,1.5687226485293609e-30
2020-08-19,1.810786581099017e-30
2020-08-21,2.0902025258335166e-30
2020-08-25,2.4127341369788118e-30
2020-08-26,2.785034437474674e-30
2020-08-31,3.2147830542292326e-30
2020-09-03,3.71084462967378e-30
2020-09-07,4.283451677233094e-30
2020-09-10,4.944415652563705e-30
2020-09-14,5.7073705944334905e-30
2020-09-15,6.588054360946426e-30
2020-09-16,7.60463326231461e-30
2020-09-17,8.778076786542172e-30
2020-09-18,1.0132590147677621e-29
2020-09-19,1.1696113579026544e-29
2020-09-20,1.350089867049871e-29
2020-09-21,1.5584173638492004e-29
2020-09-22,1.7988911251172132e-29
2020-09-23,2.0764715249531858e-29
2020-09-24,2.3968843548886054e-29
2020-09-25,2.766738932689813e-29
2020-09-26,3.193664436103895e-29
2020-09-27,3.686467273773063e-29
2020-09-28,4.2553127394871034e-29
