date,fit
2020-01-13,2.3914139002395623e-38
2020-01-14,2.802721576117906e-38
2020-01-29,3.284771503774324e-38
2020-01-30,3.8497308915547023e-38
2020-01-31,4.5118596287021316e-38
2020-02-02,5.287870212894487e-38
2020-02-05,6.197349582983487e-38
2020-02-23,7.263253504227405e-38
2020-02-27,8.512485984576982e-38
2020-02-28,9.97657834680361e-38
2020-03-01,1.1692485096626773e-37
2020-03-02,1.3703516674997e-37
2020-03-03,1.6060432637720358e-37
2020-03-04,1.882272285488424e-37
2020-03-05,2.2060109068273866e-37
2020-03-06,2.5854304706923265e-37
2020-03-07,3.0301077379520787e-37
2020-03-08,3.5512666102129972e-37
2020-03-09,4.162061427339697e-37
2020-03-10,4.877908990310919e-37
2020-03-11,5.716877689852928e-37
2020-03-12,6.700143562673442e-37
2020-03-13,7.852524786408235e-37
2020-03-14,9.203108104231552e-37
2020-03-15,1.0785982990435665e-36
2020-03-16,1.2641102087725777e-36
2020-03-17,1.4815289634148636e-36
2020-03-18,1.7363423332909512e-36
2020-03-19,2.034981949613136e-36
2020-03-20,2.384985642435157e-36
2020-03-21,2.7951876996762143e-36
2020-03-22,3.275941849462827e-36
2020-03-23,3.8393825939864666e-36
2020-03-24,4.4997314910895535e-36
2020-03-25,5.273656114297288e-36
2020-03-26,6.180690751645488e-36
2020-03-28,7.243729461977969e-36
2020-03-29,8.489603933728418e-36
2020-03-30,9.949760731662762e-36
2020-04-01,1.1661055025668273e-35
2020-04-02,1.3666680835745159e-35
2020-04-03,1.6017261273099954e-35
2020-04-06,1.8772126295635092e-35
2020-04-07,2.2000810229093434e-35
2020-04-09,2.5784806852121516e-35
2020-04-11,3.021962634457937e-35
2020-04-13,3.541720601761537e-35
2020-04-16,4.150873567366972e-35
2020-04-17,4.864796891007169e-35
2020-04-18,5.701510394537406e-35
2020-04-20,6.682133192263253e-35
2020-04-21,7.83141674913467e-35
2020-04-23,9.178369621491327e-35
2020-04-27,1.075698964916191e-34
2020-05-04,1.2607122079855123e-34
