date,fit
2020-01-13,1.361497111600529e-32
2020-01-14,1.5575167407425985e-32
2020-01-29,1.7817580199209473e-32
2020-01-30,2.0382841214528086e-32
2020-01-31,2.3317432071674004e-32
2020-02-02,2.667452651446854e-32
2020-02-23,3.0514953901610865e-32
2020-02-27,3.490830141304953e-32
2020-02-28,3.9934174944959934e-32
2020-03-01,4.5683641540304014e-32
2020-03-02,5.226087949129944e-32
2020-03-03,5.978506601306167e-32
2020-03-04,6.839253669240573e-32
2020-03-05,7.82392558402494e-32
2020-03-06,8.950364250951416e-32
2020-03-07,1.0238980338498946e-31
2020-03-08,1.171312311239444e-31
2020-03-09,1.339950351601322e-31
2020-03-10,1.532867816318458e-31
2020-03-11,1.753560301317808e-31
2020-03-12,2.006026676026789e-31
2020-03-13,2.2948415414668e-31
2020-03-14,2.62523812039845e-31
2020-03-15,3.003203081458945e-31
2020-03-16,3.4355850154711766e-31
2020-03-17,3.930218529476239e-31
2020-03-18,4.496066207029869e-31
2020-03-19,5.143381007032744e-31
2020-03-20,5.883892043703043e-31
2020-03-21,6.731017113959465e-31
2020-03-22,7.700105823135061e-31
2020-03-23,8.808717714372393e-31
2020-03-24,1.0076940441307476e-30
2020-03-25,1.1527753749218022e-30
2020-03-26,1.3187445859843349e-30
2020-03-28,1.5086089804624679e-30
2020-03-29,1.7258088337350278e-30
2020-03-30,1.9742797299832945e-30
2020-04-01,2.258523873578348e-30
2020-04-02,2.5836916674247103e-30
2020-04-03,2.9556750364313625e-30
2020-04-06,3.381214187098132e-30
2020-04-07,3.8680197376627856e-30
2020-04-09,4.4249124317643965e-30
2020-04-11,5.0619829671847324e-30
2020-04-13,5.7907748357070044e-30
2020-04-16,6.624493487086293e-30
2020-04-17,7.578245607108202e-30
2020-04-18,8.669312845368139e-30
2020-04-20,9.917464952622888e-30
2020-04-21,1.1345318001651607e-29
2020-04-23,1.2978744182459477e-29
2020-04-27,1.4847340597169804e-29
2020-05-04,1.6984965549000875e-29
2020-05-08,1.9430352042690675e-29
2020-05-11,2.2227809612784726e-29
2020-05-12,2.54280271966594e-29
2020-05-18,2.90889916000606e-29
2020-05-21,3.327703819742544e-29
2020-05-25,3.806805290529924e-29
2020-05-27,4.3548847208185746e-29
2020-06-02,4.981873115180873e-29
2020-06-03,5.699131280585727e-29
2020-06-27,6.519655680185064e-29
2020-06-29,7.45831392460948e-29
2020-07-03,8.532114167790632e-29
2020-07-07,9.760513288668564e-29
2020-08-10,1.1165769442926505e-28
2020-08-19,1.277334537286391e-28
2020-08-21,1.4612369783241585e-28
2020-08-25,1.6716165143064726e-28
2020-08-26,1.9122851476882202e-28
2020-08-31,2.187603708609041e-28
2020-09-03,2.5025608715862452e-28
2020-09-07,2.862863548524787e-28
2020-09-10,3.2750402959337085e-28
2020-09-14,3.746559610050783e-28
2020-09-15,4.285965253341085e-28
2020-09-16,4.9030310644378395e-28
2020-09-17,5.608938056626261e-28
2020-09-18,6.416477013832105e-28
2020-09-19,7.340280255082715e-28
2020-09-20,8.397086766929547e-28
2020-09-21,9.606045507938066e-28
2020-09-22,1.0989062381014058e-27
2020-09-23,1.2571197160582612e-27
2020-09-24,1.4381117566798101e-27
2020-09-25,1.6451618714448876e-27
2020-09-26,1.8820217348787372e-27
2020-09-27,2.1529831635626095e-27
2020-09-28,2.4629558823255005e-27
2020-09-29,2.8175564867139652e-27
2020-09-30,3.2232102137080775e-27
2020-10-01,3.68726736473299e-27
2020-10-02,4.218136490509471e-27
2020-10-04,4.8254367510059845e-27
2020-10-05,5.520172211200067e-27
2020-10-06,6.31493123082641e-27
2020-10-07,7.224114560983478e-27
2020-10-08,8.264196280627472e-27
2020-10-09,9.454022301030428e-27
2020-10-10,1.0815151846997815e-26
