date,delta_rel,omicron_rel,ba1_rel,ba2_rel,new_cases_smoothed,delta_abs,omicron_abs,ba1_abs,ba2_abs,delta_abs_fit,omicron_abs_fit,ba1_abs_fit,ba2_abs_fit,new_cases_smoothed_fit,omicron_rel_fit,ba1_rel_fit,ba2_rel_fit,delta_rel_fit
2021-12-07,0.9853870939826472,0.012506169982177582,0.01235742686154691,0.0,55540.286,54728.68102050511,694.5962575747578,686.3350221143978,0.0,50848.13374611829,12827.289852460786,13503.369493899552,337.0277497412103,63675.42359857908,0.20144804898866864,0.21206564056844188,0.00529290157323321,0.7985519510113314
2021-12-08,0.9816794773430854,0.016823940822188185,0.016675197701557513,0.0,48686.857,47794.88833323754,819.1048009863387,811.8629659424594,0.0,49982.40755371064,13368.274798696903,14010.794752095768,362.61236411820994,63350.682352407544,0.21102021797226722,0.22116249157596185,0.005723890424748194,0.7889797820277328
2021-12-09,0.9764143409682019,0.022240375738613583,0.02204290338474313,0.0,52935.286,51686.772393653286,1177.3006504709713,1166.8473949417455,0.0,49029.41858677541,13932.075531854518,14537.28787278155,390.1391701791953,62961.49411862993,0.22127930295942738,0.23089172320769388,0.006196472552638413,0.7787206970405726
2021-12-10,0.9680165665528565,0.030416269491068126,0.029972794677173068,0.0,51664.286,50011.884747124815,1571.4348460396182,1548.523036420747,0.0,47984.935982748255,14519.65429706905,15083.565381935947,419.75560452343484,62504.590279817305,0.23229740779146324,0.24131932253952268,0.006715596448905508,0.7677025922085368
2021-12-11,0.9626255572706187,0.036290020747720475,0.03476779728226123,0.0,50128.857,48255.31890496416,1819.1772605895128,1742.8699381674621,0.0,46845.63316548673,15132.013921714159,15650.37073091985,451.62029602899395,61977.647087200894,0.2441527652771945,0.2525163743131487,0.007286825448432663,0.7558472347228055
2021-12-12,0.9568691639175678,0.04263883116238273,0.041314080050793935,0.0,49296.143,47169.95913677086,2101.929918333675,2036.6247980973849,0.0,45609.36172585669,15770.199526938653,16238.475308269322,485.9039154864437,61379.56125279534,0.25692916673008065,0.2645583477110598,0.007916379745453372,0.7430708332699193
2021-12-13,0.9514982003178222,0.04762267880305693,0.046543930151492746,0.0,51739.143,49229.70145048644,2463.9565886344312,2408.1430578900945,0.0,44275.43149365328,16435.300311386665,16848.67948950971,522.7900897303765,60710.73180503995,0.27071491024297417,0.27752390703534563,0.008611164355738776,0.7292850897570259
2021-12-14,0.9382228791663403,0.05889654435046299,0.05871459384100156,0.0,45902.857,43067.1106565008,2703.5196531134607,2695.1676048965755,0.0,42844.879532461346,17128.451410145397,17481.813726419405,562.4763851649191,59973.33094260674,0.28560113538694354,0.2914931262222061,0.00937877513762238,0.7143988646130565
2021-12-15,0.9139867411599862,0.08194854973396319,0.08077982203879029,0.0,50105.714,45795.9582523543,4106.0905956847355,4047.5306600465233,0.0,41320.70687233163,17850.835832093093,18138.73967722554,605.1753659511103,59171.542704424726,0.3016794056099241,0.3065449851093567,0.01022747317868825,0.6983205943900759
2021-12-16,0.8954318320168418,0.10062843194325716,0.09845417383078914,0.0,42731.714,38263.336952239726,4300.025374067729,4207.115598243566,0.0,39708.05920756305,18603.686478953776,18820.351379269854,651.1157325239152,58311.74568651682,0.31903840744139184,0.32275403793341767,0.011166116274829172,0.6809615925586082
2021-12-17,0.867528899875254,0.12941799248713706,0.12742568488413045,0.0,37363.143,32413.606342671792,4835.462960069827,4761.024086198704,0.0,38014.3273736111,19388.28824950468,19527.5764657406,700.5435465368963,57402.61562311578,0.3377596654619533,0.3401861788659841,0.012204035285367563,0.6622403345380466
2021-12-18,0.844855729211703,0.1532752957735417,0.15226976535624656,0.0,40627.571,34324.43612330524,6227.202961585566,6186.350703164248,0.0,36249.14591120891,20205.98023252761,20261.377428126416,753.7235487954779,56455.12614373652,0.3579122324708398,0.35889349315313396,0.01335084340926764,0.6420877675291602
2021-12-19,0.8419891566107851,0.15689601618743101,0.15689601618743101,0.0,38105.143,32084.117217103358,5978.545132952373,5978.545132952373,0.0,34424.27383667802,21058.15799224705,21022.75292611029,810.9405772378038,55482.431828925066,0.3795464131272747,0.3789082820113581,0.01461616858717123,0.6204535868727253
2021-12-20,0.8419656335047941,0.1560248211548389,0.15527124165220138,0.00025119316754584274,36150.714,30437.65881466063,5640.408686469731,5613.166249393619,9.080812358703843,32553.350747502962,21946.275950155516,21812.739146686275,872.5010925580467,54499.626697658474,0.40268672062479316,0.40023648726429606,0.016009304015939856,0.597313279375207
2021-12-21,0.8375088543713644,0.15785175150457387,0.15381086102231767,0.00057992426550771,37967.286,31797.938201449942,5993.202594975086,5839.780950340587,22.01815044687116,30651.532829885917,22871.84986729127,22632.411214348675,938.7348196435735,53523.382697177185,0.4273244461527191,0.4228509125142104,0.017538779732116636,0.572675553847281
2021-12-22,0.8147001218852125,0.17750391833416004,0.1712534318923079,0.00057992426550771,36168.857,29466.77220634882,6420.113839167913,6194.040888872125,20.9751978299784,28735.025791497086,23836.459431204985,23482.88465427284,1009.9965136176894,52571.485222702075,0.45341042449589436,0.44668482457353453,0.019211869501863342,0.5465895755041056
