date,fit
2020-01-13,2.689936378652447e-44
2020-01-14,3.2344053907574446e-44
2020-01-29,3.889080171108567e-44
2020-01-30,4.676267427864949e-44
2020-01-31,5.622788961606164e-44
2020-02-02,6.760895563493155e-44
2020-02-23,8.129365895213144e-44
2020-02-27,9.774827792800516e-44
2020-02-28,1.1753347015068787e-43
2020-03-01,1.4132337570015294e-43
2020-03-02,1.699285870967707e-43
2020-03-03,2.0432376858850774e-43
2020-03-04,2.4568086584769487e-43
2020-03-05,2.954090376300308e-43
2020-03-06,3.5520266998570977e-43
2020-03-07,4.270991090089484e-43
2020-03-08,5.1354807925170235e-43
2020-03-09,6.1749515309241065e-43
2020-03-10,7.424821151083105e-43
2020-03-11,8.927676411627104e-43
2020-03-12,1.0734724041008878e-42
2020-03-13,1.2907535502354982e-42
2020-03-14,1.552014491551792e-42
2020-03-15,1.8661571618744145e-42
2020-03-16,2.2438853321099634e-42
2020-03-17,2.6980693194140953e-42
2020-03-18,3.244184517004007e-42
2020-03-19,3.9008386866258086e-42
2020-03-20,4.690405980091721e-42
2020-03-21,5.639789292878938e-42
2020-03-22,6.781336925433793e-42
2020-03-23,8.15394478554673e-42
2020-03-24,9.804381687095076e-42
2020-03-25,1.1788882902007528e-41
2020-03-26,1.4175066262482784e-41
2020-03-28,1.7044236100738434e-41
2020-03-29,2.0494153528340324e-41
2020-03-30,2.4642367446728066e-41
2020-04-01,2.9630219786332384e-41
2020-04-02,3.562766144463616e-41
2020-04-03,4.2839043016452393e-41
2020-04-06,5.151007762373779e-41
2020-04-07,6.193621308917881e-41
2020-04-09,7.447269871828522e-41
2020-04-11,8.954668969507214e-41
2020-04-13,1.0767180152391518e-40
2020-04-16,1.2946561043052574e-40
2020-04-17,1.5567069601250728e-40
2020-04-18,1.871799431249195e-40
2020-04-20,2.250669651109745e-40
2020-04-21,2.706226849874539e-40
2020-04-23,3.253993210141154e-40
2020-04-27,3.9126327536567985e-40
2020-05-04,4.704587279800787e-40
2020-05-08,5.6568410241358415e-40
2020-05-11,6.801840091210138e-40
2020-05-12,8.17859798940708e-40
2020-05-18,9.834024936689442e-40
2020-05-21,1.1824526230618749e-39
2020-05-25,1.4217924143851125e-39
2020-05-27,1.7095768829777788e-39
2020-06-02,2.0556116977709646e-39
