date,fit
2020-01-13,3.5915306963732047e-26
2020-01-14,3.962885840427726e-26
2020-01-29,4.372638162363785e-26
2020-01-30,4.824757832765782e-26
2020-01-31,5.323625527763964e-26
2020-02-02,5.874074874264424e-26
2020-02-23,6.481439283908006e-26
2020-02-27,7.151603629541148e-26
2020-02-28,7.89106126490285e-26
2020-03-01,8.706976940002048e-26
2020-03-02,9.607256221785437e-26
2020-03-03,1.0600622092725247e-25
2020-03-04,1.1696699469506821e-25
2020-03-05,1.2906108460733719e-25
2020-03-06,1.4240567267241723e-25
2020-03-07,1.5713005722044434e-25
2020-03-08,1.733769057002074e-25
2020-03-09,1.9130363701202507e-25
2020-03-10,2.110839467703374e-25
2020-03-11,2.3290949027457434e-25
2020-03-12,2.5699173949491966e-25
2020-03-13,2.835640320656974e-25
2020-03-14,3.128838321394563e-25
2020-03-15,3.45235225007631e-25
2020-03-16,3.8093166965861724e-25
2020-03-17,4.203190359433728e-25
2020-03-18,4.637789557762255e-25
2020-03-19,5.117325208412975e-25
2020-03-20,5.646443626324006e-25
2020-03-21,6.230271543586891e-25
2020-03-22,6.87446578335877e-25
2020-03-23,7.585268069931127e-25
2020-03-24,8.369565506020404e-25
2020-03-25,9.234957303256208e-25
2020-03-26,1.0189828412432842e-24
2020-03-28,1.1243430766941758e-24
2020-03-29,1.240597292656774e-24
2020-03-30,1.3688718990226424e-24
2020-04-01,1.5104097736027013e-24
2020-04-02,1.666582304614059e-24
2020-04-03,1.838902678329267e-24
2020-04-06,2.029040540634816e-24
2020-04-07,2.2388381745575333e-24
2020-04-09,2.4703283505059508e-24
2020-04-11,2.7257540221813772e-24
2020-04-13,3.007590058996131e-24
2020-04-16,3.318567225568398e-24
2020-04-17,3.661698640636057e-24
2020-04-18,4.040308971754984e-24
2020-04-20,4.4580666486546895e-24
2020-04-21,4.919019407373306e-24
2020-04-23,5.427633509565612e-24
2020-04-27,5.98883701698802e-24
2020-05-04,6.608067540454926e-24
2020-05-08,7.291324925916089e-24
2020-05-11,8.045229388140553e-24
2020-05-12,8.877085655275228e-24
2020-05-18,9.794953745788203e-24
2020-05-21,1.0807727063568191e-23
2020-05-25,1.1925218567858057e-23
2020-05-27,1.315825585294105e-23
2020-06-02,1.4518786058825007e-23
2020-06-03,1.6019991629423725e-23
2020-06-27,1.7676418039840865e-23
2020-06-29,1.9504114730330444e-23
2020-07-03,2.1520790612469464e-23
2020-07-07,2.3745985654274655e-23
2020-08-10,2.6201260206783388e-23
2020-08-19,2.8910403906522776e-23
2020-08-21,3.189966617796114e-23
2020-08-25,3.519801056932871e-23
2020-08-26,3.8837395386115867e-23
2020-08-31,4.285308334135945e-23
2020-09-03,4.7283983222983677e-23
2020-09-07,5.2173026888675926e-23
2020-09-10,5.756758524107137e-23
2020-09-14,6.351992721371701e-23
2020-09-15,7.008772621501823e-23
2020-09-16,7.733461893719794e-23
2020-09-17,8.533082194468589e-23
2020-09-18,9.415381201617724e-23
2020-09-19,1.0388907683233424e-22
2020-09-20,1.1463094328268124e-22
2020-09-21,1.2648349141733296e-22
2020-09-22,1.3956156289900903e-22
2020-09-23,1.5399187372641515e-22
2020-09-24,1.6991424201040102e-22
2020-09-25,1.8748294269905323e-22
2020-09-26,2.0686820237790796e-22
2020-09-27,2.282578486287163e-22
2020-09-28,2.518591299277149e-22
2020-09-29,2.7790072371673656e-22
2020-09-30,3.0663495210378336e-22
2020-10-01,3.383402266614087e-22
2020-10-02,3.733237460110178e-22
2020-10-04,4.1192447233054844e-22
2020-10-05,4.545164156254656e-22
2020-10-06,5.015122575850469e-22
2020-10-07,5.533673501361622e-22
2020-10-08,6.105841274373785e-22
2020-10-09,6.737169740620452e-22
2020-10-10,7.433775965390944e-22
2020-10-11,8.202409502975424e-22
2020-10-12,9.050517794419943e-22
2020-10-13,9.98631832724256e-22
2020-10-14,1.1018878256281196e-21
2020-10-15,1.2158202257134828e-21
2020-10-16,1.3415329463426466e-21
2020-10-17,1.480244042713339e-21
2020-10-18,1.633297513834372e-21
2020-10-19,1.802176324795488e-21
2020-10-20,1.9885167755069066e-21
2020-10-21,2.1941243551299463e-21
2020-10-22,2.4209912358155593e-21
2020-10-23,2.671315575250803e-21
2020-10-24,2.9475228150396825e-21
2020-10-25,3.252289181282459e-21
2020-10-26,3.588567615054924e-21
2020-10-27,3.959616384033491e-21
2020-10-28,4.36903065248963e-21
2020-10-29,4.820777315541209e-21
2020-10-30,5.319233435177118e-21
2020-10-31,5.86922865046918e-21
2020-11-02,6.476091972891811e-21
2020-11-03,7.145703420159161e-21
2020-11-04,7.8845509888695e-21
2020-11-05,8.69979351797654e-21
2020-11-06,9.599330052183308e-21
2020-11-07,1.0591876377335122e-20
2020-11-08,1.1687049469377728e-20
2020-11-09,1.2895460675122331e-20
2020-11-10,1.4228818527665516e-20
2020-11-11,1.5700042192662368e-20
2020-11-12,1.7323386644654873e-20
2020-11-13,1.911458078631536e-20
2020-11-14,2.1090979848868813e-20
2020-11-15,2.32717335503301e-20
2020-11-16,2.5677971640876718e-20
2020-11-17,2.83330086331416e-20
2020-11-18,3.126256970109606e-20
2020-11-19,3.4495039936304844e-20
2020-11-20,3.806173937664311e-20
2020-11-21,4.1997226472285136e-20
