date,delta_rel,omicron_rel,ba1_rel,ba2_rel,new_cases_smoothed,delta_abs,omicron_abs,ba1_abs,ba2_abs,delta_abs_fit,omicron_abs_fit,ba1_abs_fit,ba2_abs_fit,new_cases_smoothed_fit,omicron_rel_fit,ba1_rel_fit,ba2_rel_fit,delta_rel_fit
2021-11-23,0.9994903160040773,0.00025484199796126404,0.00025484199796126404,0.0,53113.714,53086.642790010184,13.535604994903162,13.535604994903162,0.0,56981.09723237802,427.2988869938903,445.21084796468693,0.19141165146826902,57408.396119371915,0.007443142743535076,0.007755152173890028,3.3342100530078907e-06,0.9925568572564649
2021-11-24,0.9985424487054991,0.001202709296539463,0.001202709296539463,0.0,54640.143,54560.50218883863,65.71620795034566,65.71620795034566,0.0,56837.48253010702,470.29816567498165,489.3298193098987,0.22948845016051647,57307.78069578201,0.008206532515568113,0.008538627972831525,4.004490269458426e-06,0.9917934674844319
2021-11-25,0.9983309427833333,0.0014142152187052836,0.0014142152187052836,0.0,56898.857,56803.88955210407,80.46722949633566,80.46722949633566,0.0,56672.68006109358,517.6244810588871,537.8208396324841,0.2751397229640762,57190.30454215247,0.00905091317842815,0.009404056228378359,4.8109504778258825e-06,0.9909490868215718
2021-11-26,0.9974348984362581,0.0018622373922428774,0.0018622373922428774,0.0,58082.0,57933.01377097474,108.1624722162508,108.1624722162508,0.0,56483.71825700709,569.7132647900851,591.1171650052328,0.32987223147743894,57053.431521797174,0.009985609096491014,0.010360764449012981,5.781812288563428e-06,0.990014390903509
2021-11-27,0.9950494324015029,0.004247703426998012,0.004247703426998012,0.0,58052.571,57765.17782299795,246.5901047827454,246.5901047827454,0.0,56267.258135991906,627.0437661947693,649.6949857922889,0.3954924717072302,56894.30190218668,0.011021205028102637,0.011419333115454193,6.951354678490743e-06,0.9889787949718973
2021-11-28,0.9904716662930174,0.008825469535483533,0.008825469535483533,0.0,57636.0,57086.82495846435,508.6647621471289,508.6647621471289,0.0,56019.563723691565,690.1434616738158,714.0776813001291,0.47416629910478536,56709.70718536538,0.01216975886364505,0.01259180688353837,8.361289850340642e-06,0.9878302411363549
2021-11-29,0.9897643465641716,0.009839456922357628,0.009839456922357628,0.0,58044.286,57450.16480457389,571.1242516860059,571.1242516860059,0.0,55736.475484165625,759.5929078149425,784.8404960508481,0.5684904145866158,56496.06839198057,0.013445057849773564,0.013891948915904626,1.0062477456702299e-05,0.9865549421502264
2021-11-30,0.9911076301462612,0.007700153439770564,0.007700153439770564,0.0,58134.429,57617.47615609608,447.6440234334476,447.6440234334476,0.0,55413.38907747367,836.031082875722,862.6156794591726,0.6815780709996071,56249.42016034939,0.014862928017612635,0.015335547939874345,1.2117068390334382e-05,0.9851370719823874
2021-12-01,0.9934713997514101,0.0042968827951206075,0.004643383141620955,0.0,57620.857,57244.67345866584,247.59006908340484,267.5557159995518,0.0,55045.2424375643,920.1612657824277,948.0981348350316,0.8171618288504431,55965.40370334673,0.016441608652729187,0.016940789703949466,1.4601196002836602e-05,0.9835583913472707
2021-12-02,0.9925161075164196,0.005369431515687682,0.00571593186218803,0.0,57435.143,57005.30456500893,308.3940669322287,328.29536388302574,0.0,54626.51493072065,1012.7575067351688,1042.0516281842172,0.9797167528451566,55639.272437455824,0.018202206146272146,0.018728706946259742,1.760836743410794e-05,0.9817977938537278
2021-12-03,0.9907517995310048,0.007125254172316045,0.007471754518816392,0.0,56950.714,56424.022380075585,405.7883125448778,425.52175467932,0.0,54151.243179015495,1114.6717489529244,1145.3156122813373,1.174608115452158,55265.91492796842,0.02016924446841687,0.020723724808936934,2.1253753185541203e-05,0.9798307555315832
2021-12-04,0.9866199249073269,0.011203733660631598,0.011203733660631598,0.0,56739.714,55980.5323659432,635.6966436364099,635.6966436364099,0.0,53613.05895422635,1226.8416670829747,1258.8127269865745,1.4082684825785874,54839.90062130932,0.022371332792063024,0.02295432181176188,2.567963228641176e-05,0.977628667207937
2021-12-05,0.9842237843398439,0.012785918081145124,0.01278591808114512,0.0,56685.429,55791.14744730753,724.7752515885682,724.7752515885679,0.0,53005.25526614559,1350.299294392989,1383.5570428198528,1.6884100262331065,54355.55456053858,0.02484197439084337,0.02545382995364189,3.106232729817221e-05,0.9751580256091567
2021-12-06,0.9839620778194744,0.01310841422764525,0.013108414227645249,0.0,52053.571,51218.73987908354,682.3397706961423,682.3397706961422,0.0,52320.88723790278,1486.1805181213233,1520.6631214468423,2.024279071746815,53807.0677560241,0.027620544662646747,0.02826140105500532,3.762106273706361e-05,0.9723794553373533
2021-12-07,0.9853870939826472,0.012506169982177582,0.012506169982177582,0.0,55540.286,54728.68102050511,694.5962575747578,694.5962575747578,0.0,51552.9143783676,1635.7355303486806,1671.3559740301537,2.426961281113837,53188.64990871628,0.03075346964354184,0.03142316973449368,4.5629307855699476e-05,0.9692465303564581
2021-12-08,0.9816794773430854,0.016823940822188185,0.016823940822188185,0.0,48686.857,47794.88833323754,819.1048009863387,819.1048009863387,0.0,50694.39017402486,1800.3403305456713,1836.9820064212909,2.909747545304081,52494.730504570536,0.03429563907160019,0.03499364581481852,5.542932628353505e-05,0.9657043609283997
2021-12-09,0.9764143409682019,0.022240375738613583,0.022240375738613583,0.0,52935.286,51686.772393653286,1177.3006504709713,1177.3006504709713,0.0,49738.70323926061,1981.5093856268945,2019.0210489861274,3.488572662155294,51720.21262488751,0.038312088931231544,0.039037369463840614,6.745085693009333e-05,0.9616879110687685
2021-12-10,0.9680165665528565,0.030416269491068126,0.030416269491068126,0.0,51664.286,50011.884747124815,1571.4348460396182,1571.4348460396182,0.0,48679.871294385885,2180.909563991944,2219.099578547617,4.182541278805496,50860.78085837783,0.04287998585913773,0.043630859398850246,8.223509761778547e-05,0.9571200141408622
2021-12-11,0.9626255572706187,0.036290020747720475,0.036290020747720475,0.0,50128.857,48255.31890496416,1819.1772605895128,1819.1772605895128,0.0,47512.884759436245,2400.3754717552097,2439.005250580746,5.01455845787201,49913.26023119145,0.04809093737089094,0.04886487557181408,0.00010046545616626234,0.9519090626291091
