date,fit
2020-01-13,5.63285725820318e-40
2020-01-14,6.648955356638852e-40
2020-01-29,7.848345041975827e-40
2020-01-30,9.264089859831065e-40
2020-01-31,1.0935217612376713e-39
2020-02-02,1.2907796236792383e-39
2020-02-23,1.5236203758943015e-39
2020-02-27,1.798462733106436e-39
2020-02-28,2.1228832677392976e-39
2020-03-01,2.5058252726000924e-39
2020-03-02,2.9578453004097804e-39
2020-03-03,3.4914041760294996e-39
2020-03-04,4.121210503709387e-39
2020-03-05,4.864626138816106e-39
2020-03-06,5.742144801667551e-39
2020-03-07,6.777957027411371e-39
2020-03-08,8.000617025905446e-39
2020-03-09,9.443829834910263e-39
2020-03-10,1.1147380466026975e-38
2020-03-11,1.3158230657122204e-38
2020-03-12,1.5531813465386855e-38
2020-03-13,1.833356138904565e-38
2020-03-14,2.1640710143407182e-38
2020-03-15,2.5544427815906824e-38
2020-03-16,3.015232809450358e-38
2020-03-17,3.5591436851540793e-38
2020-03-18,4.2011693862808166e-38
2020-03-19,4.959008619360867e-38
2020-03-20,5.853552719678797e-38
2020-03-21,6.90946156219337e-38
2020-03-22,8.155843359696717e-38
2020-03-23,9.627057088192747e-38
2020-03-24,1.1363659659933518e-37
2020-03-25,1.3413523954810556e-37
2020-03-26,1.583315853084311e-37
2020-03-28,1.8689265394192266e-37
2020-03-29,2.2060578771705007e-37
2020-03-30,2.6040035575385878e-37
2020-04-01,3.0737337391939812e-37
2020-04-02,3.628197462368256e-37
2020-04-03,4.282679614724064e-37
2020-04-06,5.055222289472839e-37
2020-04-07,5.9671221513098315e-37
2020-04-09,7.043517521039819e-37
2020-04-11,8.314081363041004e-37
2020-04-13,9.813839279136364e-37
2020-04-16,1.1584135058487534e-36
2020-04-17,1.367377040080151e-36
2020-04-18,1.614035023157329e-36
2020-04-20,1.9051870695633274e-36
2020-04-21,2.2488593605180645e-36
2020-04-23,2.6545259015162256e-36
2020-04-27,3.133369692001211e-36
2020-05-04,3.6985910068325216e-36
2020-05-08,4.36577128793423e-36
2020-05-11,5.153302677517157e-36
2020-05-12,6.082895033805525e-36
2020-05-18,7.180174406158233e-36
2020-05-21,8.475389467734482e-36
2020-05-25,1.0004245379913909e-35
2020-05-27,1.180888807559229e-35
2020-06-02,1.3939066095064518e-35
2020-06-03,1.6453502002798168e-35
2020-06-27,1.9421511190906952e-35
2020-06-29,2.292491269483973e-35
2020-07-03,2.706028469669673e-35
2020-07-07,3.1941626893571846e-35
2020-08-10,3.770350312436704e-35
2020-08-19,4.450475088778957e-35
2020-08-21,5.253286001173022e-35
2020-08-25,6.200914118068328e-35
2020-08-26,7.319482680187725e-35
2020-08-31,8.639827239255071e-35
2020-09-03,1.0198345700882304e-34
2020-09-07,1.2038001704727437e-34
2020-09-10,1.4209509002080952e-34
2020-09-14,1.6772729480585438e-34
2020-09-15,1.9798323375403365e-34
2020-09-16,2.3369697158160816e-34
2020-09-17,2.7585302801077357e-34
2020-09-18,3.256135180003434e-34
2020-09-19,3.843501877398918e-34
