date,fit
2020-01-13,2.380200359566655e-34
2020-01-14,2.7416763316691944e-34
2020-01-29,3.1580488917342976e-34
2020-01-30,3.6376550679533604e-34
2020-01-31,4.190098015278e-34
2020-02-02,4.826439299401363e-34
2020-02-23,5.559420382499192e-34
2020-02-27,6.403717745539856e-34
2020-02-28,7.376236755477526e-34
2020-03-01,8.496450161432207e-34
2020-03-02,9.786787997564477e-34
2020-03-03,1.1273086699672547e-33
2020-03-04,1.2985106428172313e-33
2020-03-05,1.495712695581944e-33
2020-03-06,1.722863405163396e-33
2020-03-07,1.984511010449328e-33
2020-03-08,2.28589448170507e-33
2020-03-09,2.633048420480463e-33
2020-03-10,3.032923890442796e-33
2020-03-11,3.493527598531651e-33
2020-03-12,4.0240822132599907e-33
2020-03-13,4.6352110302153504e-33
2020-03-14,5.3391506823178136e-33
2020-03-15,6.149996153933549e-33
2020-03-16,7.083983004760993e-33
2020-03-17,8.159812454459107e-33
2020-03-18,9.399025837187534e-33
2020-03-19,1.0826435923762266e-32
2020-03-20,1.2470623747790795e-32
2020-03-21,1.4364510883736947e-32
2020-03-22,1.6546018635639677e-32
2020-03-23,1.905882733542193e-32
2020-03-24,2.1953250954221978e-32
2020-03-25,2.528724453908689e-32
2020-03-26,2.912756464693918e-32
2020-03-28,3.355110601118333e-32
2020-03-29,3.864644120503058e-32
2020-03-30,4.45155941302219e-32
2020-04-01,5.127608284171578e-32
2020-04-02,5.906327261182156e-32
2020-04-03,6.803308634918378e-32
2020-04-06,7.836512664333976e-32
2020-04-07,9.026627194755152e-32
2020-04-09,1.0397481890628336e-31
2020-04-11,1.197652537691606e-31
2020-04-13,1.379537484294154e-31
2020-04-16,1.5890449113402997e-31
2020-04-17,1.8303697862537314e-31
2020-04-18,2.1083441572489717e-31
2020-04-20,2.4285339054376633e-31
2020-04-21,2.7973501904717018e-31
2020-04-23,3.222177821199427e-31
2020-04-27,3.7115231217006676e-31
2020-05-04,4.275184253422394e-31
2020-05-08,4.924447403775214e-31
2020-05-11,5.672312769475585e-31
2020-05-12,6.5337548594974265e-31
2020-05-18,7.5260223296806995e-31
2020-05-21,8.66898335258469e-31
2020-05-25,9.985523437927252e-31
2020-05-27,1.1502003669169047e-30
