date,fit
2020-01-13,2.244744274804592e-38
2020-01-14,2.6311323868347747e-38
2020-01-29,3.0840295327865374e-38
2020-01-30,3.6148839209650974e-38
2020-01-31,4.237114341199294e-38
2020-02-02,4.966449361285057e-38
2020-02-05,5.821324909355083e-38
2020-02-23,6.823350292150988e-38
2020-02-27,7.997854429079603e-38
2020-02-28,9.374526109604688e-38
2020-03-01,1.0988164458223768e-37
2020-03-02,1.2879558577074936e-37
2020-03-03,1.5096518601535555e-37
2020-03-04,1.7695084231548638e-37
2020-03-05,2.0740941287599414e-37
2020-03-06,2.4311082098646603e-37
2020-03-07,2.8495751692836598e-37
2020-03-08,3.340072898626772e-37
2020-03-09,3.915000063306109e-37
2020-03-10,4.588889512557839e-37
2020-03-11,5.378775636769774e-37
2020-03-12,6.304624958072236e-37
2020-03-13,7.389840838540384e-37
2020-03-14,8.661855063882702e-37
2020-03-15,1.0152821256503492e-36
2020-03-16,1.1900427645842506e-36
2020-03-17,1.3948849740973655e-36
2020-03-18,1.634986698685869e-36
2020-03-19,1.9164171630779382e-36
2020-03-20,2.246290288411283e-36
2020-03-21,2.6329445159564347e-36
2020-03-22,3.086153583919952e-36
2020-03-23,3.6173735852851115e-36
2020-03-24,4.2400325517492715e-36
2020-03-25,4.969869883781017e-36
2020-03-26,5.8253342068148635e-36
2020-03-28,6.828049710482639e-36
2020-03-29,8.003362758874882e-36
2020-03-30,9.380982588894871e-36
2020-04-01,1.0995732292099545e-35
2020-04-02,1.288842906313976e-35
2020-04-03,1.5106915965473e-35
2020-04-06,1.7707271295037597e-35
2020-04-07,2.075522611184693e-35
2020-04-09,2.4327825771474075e-35
2020-04-11,2.8515377456156454e-35
2020-04-13,3.342373293467593e-35
2020-04-16,3.917696425397831e-35
2020-04-17,4.592049999792686e-35
2020-04-18,5.382480139066593e-35
2020-04-20,6.308967116811503e-35
2020-04-21,7.394930413605187e-35
2020-04-23,8.667820708138279e-35
2020-04-27,1.015981376784893e-34
2020-05-04,1.1908623779037909e-34
2020-05-08,1.3958456675598364e-34
2020-05-11,1.6361127564338713e-34
2020-05-12,1.917737049286595e-34
2020-05-18,2.2478373667976776e-34
2020-05-21,2.6347578931384612e-34
2020-05-25,3.0882790979425204e-34
2020-05-27,3.6198649643014682e-34
2020-06-02,4.2429527721464875e-34
2020-06-03,4.973292762079473e-34
2020-06-27,5.829346265581883e-34
2020-06-29,6.832752365425685e-34
2020-07-03,8.008874882399884e-34
2020-07-07,9.387443514929676e-34
2020-08-10,1.1003305338138654e-33
2020-08-19,1.2897305658538237e-33
2020-08-21,1.5117320490344893e-33
2020-08-25,1.7719466752073543e-33
2020-08-26,2.0769520774423727e-33
2020-08-31,2.434458097610298e-33
2020-09-03,2.8535016736248168e-33
2020-09-07,3.344675272649962e-33
2020-09-10,3.920394644544064e-33
2020-09-14,4.5952126637371346e-33
2020-09-15,5.386187192750308e-33
2020-09-16,6.313312266108213e-33
2020-09-17,7.400023493992244e-33
2020-09-18,8.673790461087669e-33
2020-09-19,1.0166811095118163e-32
2020-09-20,1.1916825557123004e-32
2020-09-21,1.3968070226768334e-32
2020-09-22,1.6372395897270756e-32
2020-09-23,1.919057844535092e-32
2020-09-24,2.249385510697054e-32
2020-09-25,2.636572519240351e-32
2020-09-26,3.090406075861728e-32
2020-09-27,3.6223580591952275e-32
2020-09-28,4.245875003775296e-32
2020-09-29,4.976717997803066e-32
2020-09-30,5.833361087557757e-32
2020-10-01,6.837458259209074e-32
2020-10-02,8.014390802267217e-32
2020-10-04,9.393908890771958e-32
2020-10-05,1.1010883599931155e-31
2020-10-06,1.290618836747839e-31
2020-10-07,1.5127732181082722e-31
2020-10-08,1.7731670608436826e-31
2020-10-09,2.0783825282105126e-31
2020-10-10,2.436134772047626e-31
2020-10-11,2.8554669542421893e-31
2020-10-12,3.34697883726515e-31
2020-10-13,3.9230947220237544e-31
2020-10-14,4.59837750589021e-31
2020-10-15,5.389896799577973e-31
2020-10-16,6.317660408021948e-31
2020-10-17,7.405120082115975e-31
2020-10-18,8.679764325560881e-31
2020-10-19,1.0173813241628327e-30
2020-10-20,1.1925032983985235e-30
2020-10-21,1.3977690399040152e-30
2020-10-22,1.638367199099574e-30
2020-10-23,1.920379549449563e-30
2020-10-24,2.2509347208433215e-30
2020-10-25,2.6383883951223434e-30
2020-10-26,3.092534518685755e-30
2020-10-27,3.6248528711480546e-30
2020-10-28,4.248799248020765e-30
2020-10-29,4.980145592575347e-30
2020-10-30,5.837378674645746e-30
2020-10-31,6.842167394063669e-30
2020-11-02,8.019910521091748e-30
2020-11-03,9.400378719486152e-30
2020-11-04,1.1018467081068966e-29
2020-11-05,1.291507719417041e-29
2020-11-06,1.5138151042622242e-29
2020-11-07,1.7743882869912782e-29
2020-11-08,2.079813964167229e-29
