date,alpha,beta,eta,lambda,epsilon,gamma,iota,delta,mu,omicron,alpha_rel,beta_rel,eta_rel,lambda_rel,epsilon_rel,gamma_rel,iota_rel,delta_rel,mu_rel,omicron_rel,other,other_rel,sum,ba1,ba1_rel,ba2,ba2_rel,ba3,ba3_rel
2021-02-19,232,6,1,2,0,3,1,0,0,0,0.3338129496402878,0.008633093525179856,0.0014388489208633094,0.0028776978417266188,0.0,0.004316546762589928,0.0014388489208633094,0.0,0.0,0.0,450,0.6474820143884892,695,1,0.0014388489208633094,0,0.0,0,0.0
2021-02-20,96,4,0,0,0,0,0,0,0,0,0.3356643356643357,0.013986013986013986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186,0.6503496503496503,286,0,0.0,0,0.0,0,0.0
2021-02-21,34,0,7,1,0,1,0,0,0,0,0.2982456140350877,0.0,0.06140350877192982,0.008771929824561403,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,71,0.6228070175438597,114,0,0.0,0,0.0,0,0.0
2021-02-22,416,7,2,2,0,0,0,0,0,0,0.4164164164164164,0.007007007007007007,0.002002002002002002,0.002002002002002002,0.0,0.0,0.0,0.0,0.0,0.0,572,0.5725725725725725,999,0,0.0,0,0.0,0,0.0
2021-02-23,272,5,0,1,0,0,0,0,0,0,0.4152671755725191,0.007633587786259542,0.0,0.0015267175572519084,0.0,0.0,0.0,0.0,0.0,0.0,377,0.5755725190839694,655,0,0.0,0,0.0,0,0.0
2021-02-24,376,5,5,0,0,0,0,0,0,0,0.45355850422195415,0.006031363088057901,0.006031363088057901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443,0.53437876960193,829,0,0.0,0,0.0,0,0.0
2021-02-25,321,6,6,1,0,0,0,0,0,0,0.41580310880829013,0.007772020725388601,0.007772020725388601,0.0012953367875647669,0.0,0.0,0.0,0.0,0.0,0.0,438,0.5673575129533679,772,0,0.0,0,0.0,0,0.0
2021-02-26,298,9,0,2,0,2,0,0,0,0,0.4570552147239264,0.013803680981595092,0.0,0.003067484662576687,0.0,0.003067484662576687,0.0,0.0,0.0,0.0,341,0.5230061349693251,652,0,0.0,0,0.0,0,0.0
2021-02-27,93,2,0,0,0,0,0,0,0,0,0.46733668341708545,0.010050251256281407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,0.5226130653266332,199,0,0.0,0,0.0,0,0.0
2021-02-28,63,1,0,4,0,0,0,0,0,0,0.43448275862068964,0.006896551724137931,0.0,0.027586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,77,0.5310344827586206,145,0,0.0,0,0.0,0,0.0
2021-03-01,305,18,3,0,3,1,0,0,0,0,0.42837078651685395,0.025280898876404494,0.004213483146067416,0.0,0.004213483146067416,0.0014044943820224719,0.0,0.0,0.0,0.0,382,0.5365168539325843,712,0,0.0,0,0.0,0,0.0
2021-03-02,284,16,1,1,0,4,1,0,0,0,0.4500792393026941,0.025356576862123614,0.001584786053882726,0.001584786053882726,0.0,0.006339144215530904,0.001584786053882726,0.0,0.0,0.0,324,0.5134706814580031,631,0,0.0,0,0.0,0,0.0
2021-03-03,333,10,7,0,0,3,0,0,0,0,0.5294117647058824,0.01589825119236884,0.011128775834658187,0.0,0.0,0.0047694753577106515,0.0,0.0,0.0,0.0,276,0.43879173290937995,629,1,0.001589825119236884,0,0.0,0,0.0
2021-03-04,348,6,3,0,0,0,0,0,0,0,0.5194029850746269,0.008955223880597015,0.004477611940298508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313,0.4671641791044776,670,1,0.0014925373134328358,0,0.0,0,0.0
2021-03-05,345,13,6,0,0,0,0,0,0,0,0.558252427184466,0.021035598705501618,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254,0.4110032362459547,618,1,0.0016181229773462784,0,0.0,0,0.0
2021-03-06,198,3,2,0,1,0,0,0,0,0,0.6875,0.010416666666666666,0.006944444444444444,0.0,0.003472222222222222,0.0,0.0,0.0,0.0,0.0,84,0.2916666666666667,288,0,0.0,0,0.0,0,0.0
2021-03-07,98,3,0,1,0,0,0,0,0,0,0.6621621621621622,0.02027027027027027,0.0,0.006756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,46,0.3108108108108108,148,0,0.0,0,0.0,0,0.0
2021-03-08,493,13,2,2,0,1,0,0,0,0,0.5732558139534883,0.015116279069767442,0.002325581395348837,0.002325581395348837,0.0,0.0011627906976744186,0.0,0.0,0.0,0.0,349,0.40581395348837207,860,0,0.0,0,0.0,0,0.0
