date,fit
2020-01-13,1.874668381362193e-38
2020-01-14,2.198754388996256e-38
2020-01-29,2.5788672339036933e-38
2020-01-30,3.024692636606036e-38
2020-01-31,3.547590750567669e-38
2020-02-02,4.160885632212534e-38
2020-02-23,4.880204753488717e-38
2020-02-27,5.723877208158108e-38
2020-02-28,6.71340075857478e-38
2020-03-01,7.873989623850806e-38
2020-03-02,9.235216967692469e-38
2020-03-03,1.083176845725192e-37
2020-03-04,1.2704326094553386e-37
2020-03-05,1.490060484155658e-37
2020-03-06,1.7476568453277554e-37
2020-03-07,2.0497855499816723e-37
2020-03-08,2.40414519140091e-37
2020-03-09,2.8197652683169127e-37
2020-03-10,3.3072362671129724e-37
2020-03-11,3.878979519822179e-37
2020-03-12,4.5495637142171375e-37
2020-03-13,5.336076121038685e-37
2020-03-14,6.258557997669112e-37
2020-03-15,7.340515262845254e-37
2020-03-16,8.609517455000326e-37
2020-03-17,1.0097900236396098e-36
2020-03-18,1.1843589343673148e-36
2020-03-19,1.3891066980042593e-36
2020-03-20,1.6292505273928018e-36
2020-03-21,1.9109095685906648e-36
2020-03-22,2.241260823879996e-36
2020-03-23,2.6287220301921778e-36
2020-03-24,3.083166152904512e-36
2020-03-25,3.6161729605624844e-36
2020-03-26,4.2413240909460726e-36
2020-03-28,4.974549127108519e-36
2020-03-29,5.834531501811236e-36
2020-03-30,6.843184573275108e-36
2020-04-01,8.026210003215007e-36
2020-04-02,9.413752665285289e-36
2020-04-03,1.1041168771770202e-35
2020-04-06,1.2949926791285344e-35
2020-04-07,1.5188664113931963e-35
2020-04-09,1.7814426388965473e-35
2020-04-11,2.089412111475747e-35
2020-04-13,2.4506222520225223e-35
2020-04-16,2.874277118010115e-35
2020-04-17,3.371171931658641e-35
2020-04-18,3.953968154842062e-35
2020-04-20,4.6375161179670734e-35
2020-04-21,5.439233423786426e-35
2020-04-23,6.379548768318886e-35
2020-04-27,7.482422487951875e-35
2020-05-04,8.775957096877952e-35
2020-05-08,1.0293113372073857e-34
2020-05-11,1.2072550232504753e-34
2020-05-12,1.4159609813661605e-34
2020-05-18,1.660747283828425e-34
2020-05-21,1.9478513723466973e-34
2020-05-25,2.2845889953868165e-34
2020-05-27,2.6795406220108435e-34
2020-06-02,3.1427700822792763e-34
2020-06-03,3.686081005429094e-34
2020-06-27,4.323317590172274e-34
2020-06-29,5.07071737109503e-34
2020-07-03,5.947324970058624e-34
2020-07-07,6.975477375471327e-34
2020-08-10,8.181373114916911e-34
2020-08-19,9.595739824324707e-34
2020-08-21,1.1254617224124279e-33
2020-08-25,1.3200275453536187e-33
2020-08-26,1.5482292163231754e-33
2020-08-31,1.8158815811942354e-33
2020-09-03,2.1298047357298604e-33
2020-09-07,2.497997809611686e-33
2020-09-10,2.9298427936335277e-33
2020-09-14,3.436343603816377e-33
2020-09-15,4.0304064740774476e-33
2020-09-16,4.72716882218778e-33
2020-09-17,5.544384968908007e-33
2020-09-18,6.502878538876928e-33
2020-09-19,7.627073070958533e-33
2020-09-20,8.945614358620365e-33
2020-09-21,1.0492100378303813e-32
2020-09-22,1.2305937405217984e-32
2020-09-23,1.4433344131389918e-32
2020-09-24,1.6928529372073271e-32
2020-09-25,1.9855073369857114e-32
2020-09-26,2.328754789372075e-32
2020-09-27,2.7313416415053033e-32
2020-09-28,3.2035262779351513e-32
2020-09-29,3.7573405162765547e-32
2020-09-30,4.406896192015237e-32
2020-10-01,5.168744744605744e-32
2020-10-02,6.062298967535365e-32
2020-10-04,7.110327669040873e-32
2020-10-05,8.339535848012268e-32
2020-10-06,9.781245168643986e-32
2020-10-07,1.1472192073126421e-31
2020-10-08,1.3455463869223547e-31
2020-10-09,1.5781596645342813e-31
2020-10-10,1.8509862989261928e-31
2020-10-11,2.1709782323093386e-31
2020-10-12,2.5462892339587845e-31
2020-10-13,2.9864826678052507e-31
2020-10-14,3.5027751781499557e-31
2020-10-15,4.108322502899436e-31
2020-10-16,4.81855469717705e-31
2020-10-17,5.651569309201256e-31
2020-10-18,6.62859252701174e-31
2020-10-19,7.774520046603897e-31
2020-10-20,9.11855144342301e-31
2020-10-21,1.069493421174877e-30
2020-10-22,1.2543836430964766e-30
2020-10-23,1.4712370295269945e-30
2020-10-24,1.725579258757048e-30
2020-10-25,2.0238912687032336e-30
2020-10-26,2.373774398797348e-30
2020-10-27,2.7841440810187465e-30
2020-10-28,3.2654570155441235e-30
2020-10-29,3.8299776197159144e-30
2020-10-30,4.492090539761804e-30
2020-10-31,5.268667188429822e-30
2020-11-02,6.1794956483466004e-30
2020-11-03,7.247784895540983e-30
2020-11-04,8.500756191338671e-30
2020-11-05,9.970336711984878e-30
2020-11-06,1.1693973090492841e-29
2020-11-07,1.3715585600714073e-29
2020-11-08,1.6086687297361e-29
2020-11-09,1.886769662897999e-29
2020-11-10,2.2129476970788298e-29
2020-11-11,2.5955142306478625e-29
2020-11-12,3.044217506987779e-29
2020-11-13,3.570491011154156e-29
2020-11-14,4.187744808467007e-29
2020-11-15,4.911707248682792e-29
2020-11-16,5.760825742768788e-29
2020-11-17,6.756736824542445e-29
2020-11-18,7.924817474896654e-29
2020-11-19,9.294831756996748e-29
2020-11-20,1.0901689239474013e-28
2020-11-21,1.278633453312382e-28
2020-11-22,1.4996790607548136e-28
2020-11-23,1.7589382472671868e-28
2020-11-24,2.0630172405968967e-28
2020-11-25,2.419664329667375e-28
2020-11-26,2.837967300055452e-28
2020-11-27,3.3285850014126557e-28
2020-11-28,3.9040189474392055e-28
2020-11-29,4.578931869096256e-28
2020-11-30,5.370521338165668e-28
2020-12-01,6.298957981522798e-28
2020-12-02,7.387899452335358e-28
2020-12-03,8.66509325477702e-28
2020-12-04,1.0163083782934777e-27
2020-12-05,1.1920041590090256e-27
2020-12-06,1.3980736019126868e-27
2020-12-07,1.6397675977826135e-27
2020-12-08,1.923244792734243e-27
2020-12-09,2.2557285177370117e-27
2020-12-10,2.6456908475483528e-27
2020-12-11,3.1030684791019662e-27
2020-12-12,3.639515930184764e-27
2020-12-13,4.2687025102011316e-27
2020-12-14,5.0066606301878156e-27
2020-12-15,5.872194327426145e-27
2020-12-16,6.887358414337342e-27
2020-12-17,8.078020460936454e-27
2020-12-18,9.474519930815359e-27
2020-12-19,1.1112441266212369e-26
2020-12-20,1.303352062128088e-26
2020-12-21,1.528670934818397e-26
2020-12-22,1.7929421334884984e-26
2020-12-23,2.102899597826238e-26
2020-12-24,2.4664414070818762e-26
2020-12-25,2.8928310323785284e-26
2020-12-26,3.3929333808067887e-26
2020-12-27,3.97949164598378e-26
2020-12-28,4.667452019552781e-26
