date,fit
2020-01-13,1.6290018434477145e-20
2020-01-14,1.756681077325112e-20
2020-01-29,1.8943676582347238e-20
2020-01-30,2.0428459501767507e-20
2020-01-31,2.2029617946721003e-20
2020-02-02,2.3756273292976364e-20
2020-02-23,2.5618261838925275e-20
2020-02-27,2.762619084036917e-20
2020-02-28,2.979149893724876e-20
2020-03-01,3.2126521316545994e-20
2020-03-02,3.464455998258028e-20
2020-03-03,3.7359959535003774e-20
2020-03-04,4.0288188886189874e-20
2020-03-05,4.3445929383529724e-20
2020-03-06,4.6851169838654255e-20
2020-03-07,5.052330900492932e-20
2020-03-08,5.448326608702053e-20
2020-03-09,5.875359991206127e-20
2020-03-10,6.335863744132168e-20
2020-03-11,6.83246123544639e-20
2020-03-12,7.367981449587097e-20
2020-03-13,7.945475103440261e-20
2020-03-14,8.568232025465593e-20
2020-03-15,9.239799896978775e-20
2020-03-16,9.964004462352219e-20
2020-03-17,1.0744971323268442e-19
2020-03-18,1.1587149441180085e-19
2020-03-19,1.2495336481866066e-19
2020-03-20,1.3474706146462773e-19
2020-03-21,1.4530837644670404e-19
2020-03-22,1.566974747803287e-19
2020-03-23,1.6897923714355059e-19
2020-03-24,1.8222362948506738e-19
2020-03-25,1.965061016017152e-19
2020-03-26,2.119080169559911e-19
2020-03-28,2.285171161821488e-19
2020-03-29,2.4642801692137534e-19
2020-03-30,2.6574275283343106e-19
2020-04-01,2.865713548554104e-19
2020-04-02,3.090324780188462e-19
2020-04-03,3.3325407739602733e-19
2020-04-06,3.593741370261534e-19
2020-04-07,3.8754145597389467e-19
2020-04-09,4.179164959982502e-19
2020-04-11,4.506722956607297e-19
2020-04-13,4.859954560802083e-19
2020-04-16,5.240872039501076e-19
2020-04-17,5.651645378736067e-19
2020-04-18,6.0946146454721025e-19
2020-04-20,6.57230331834979e-19
2020-04-21,7.0874326632747045e-19
2020-04-23,7.642937235749183e-19
2020-04-27,8.241981598257737e-19
2020-05-04,8.887978347942161e-19
2020-05-08,9.584607557263535e-19
2020-05-11,1.0335837738401266e-18
2020-05-12,1.1145948450815814e-18
2020-05-18,1.2019554680766534e-18
2020-05-21,1.2961633131666102e-18
2020-05-25,1.3977550575042512e-18
2020-05-27,1.5073094423615993e-18
2020-06-02,1.6254505700656424e-18
2020-06-03,1.7528514593441457e-18
2020-06-27,1.8902378793350822e-18
2020-06-29,2.038392484101364e-18
2020-07-03,2.198159271203736e-18
2020-07-07,2.3704483897315504e-18
2020-08-10,2.5562413251810556e-18
2020-08-19,2.7565964907185563e-18
2020-08-21,2.9726552566798803e-18
2020-08-25,3.2056484526551603e-18
2020-08-26,3.456903379199001e-18
2020-08-31,3.727851369110519e-18
2020-09-03,4.0200359413572085e-18
2020-09-07,4.335121594093927e-18
2020-09-10,4.674903286868323e-18
2020-09-14,5.041316666029963e-18
2020-09-15,5.436449091595399e-18
2020-09-16,5.8625515283852974e-18
2020-09-17,6.322051369175397e-18
2020-09-18,6.817566262910197e-18
2020-09-19,7.351919026756352e-18
2020-09-20,7.92815372694437e-18
2020-09-21,8.54955302000845e-18
