date,fit
2020-01-13,1.239875967187143e-50
2020-01-14,1.5153305014084522e-50
2020-01-29,1.851980834589593e-50
2020-01-30,2.2634224075204995e-50
2020-01-31,2.766271064571313e-50
2020-02-02,3.3808340755393483e-50
2020-02-23,4.1319302337058943e-50
2020-02-27,5.049892149317975e-50
2020-02-28,6.171791215572134e-50
2020-03-01,7.542934716686646e-50
2020-03-02,9.218695537956938e-50
2020-03-03,1.1266748369642246e-49
2020-03-04,1.3769802712561103e-49
2020-03-05,1.682894305634328e-49
2020-03-06,2.056771112161916e-49
2020-03-07,2.513709502528293e-49
2020-03-08,3.0721626853554903e-49
2020-03-09,3.7546834890021505e-49
2020-03-10,4.588835145282704e-49
2020-03-11,5.608304415608138e-49
2020-03-12,6.85426201254209e-49
2020-03-13,8.3770252566584e-49
2020-03-14,1.0238090114192553e-48
2020-03-15,1.2512614678225043e-48
2020-03-16,1.5292454387434632e-48
2020-03-17,1.868987155807969e-48
2020-03-18,2.2842069036644317e-48
2020-03-19,2.791673106224527e-48
2020-03-20,3.411879510352066e-48
2020-03-21,4.169872814694803e-48
2020-03-22,5.0962641670005926e-48
2020-03-23,6.228465378686803e-48
2020-03-24,7.61219978051742e-48
2020-03-25,9.303348734472144e-48
2020-03-26,1.137020837218769e-47
2020-03-28,1.3896247697125633e-47
2020-03-29,1.698347943492592e-47
2020-03-30,2.075657976190319e-47
2020-04-01,2.5367923284686355e-47
2020-04-02,3.1003736605915505e-47
2020-04-03,3.789161898440688e-47
2020-04-06,4.630973380755398e-47
2020-04-07,5.659804206859087e-47
2020-04-09,6.917203150659232e-47
2020-04-11,8.453949585306083e-47
2020-04-13,1.0332104180587158e-46
2020-04-16,1.2627515189356316e-46
2020-04-17,1.5432881538014573e-46
2020-04-18,1.8861496422284798e-46
2020-04-20,2.305182259136487e-46
2020-04-21,2.817308409082117e-46
2020-04-23,3.4432100283724113e-46
2020-04-27,4.208163813825035e-46
2020-05-04,5.143062008435555e-46
2020-05-08,6.285659967825711e-46
2020-05-11,7.682100889766543e-46
2020-05-12,9.388779282148447e-46
2020-05-18,1.147461842454109e-45
2020-05-21,1.40238537973906e-45
2020-05-25,1.7139434886128007e-45
2020-05-27,2.0947182740202368e-45
2020-06-02,2.560087118779866e-45
2020-06-03,3.1288436908338975e-45
2020-06-27,3.823956915316548e-45
2020-06-29,4.673498562115781e-45
2020-07-03,5.711776909047602e-45
2020-07-07,6.980722263014919e-45
2020-08-10,8.531580292668956e-45
2020-08-19,1.0426981556894203e-44
2020-08-21,1.2743470805899026e-44
2020-08-25,1.557459819936371e-44
2020-08-26,1.9034697278808625e-44
2020-08-31,2.326350226554716e-44
2020-09-03,2.8431791151289755e-44
2020-09-07,3.4748282474550147e-44
2020-09-10,4.246806430541591e-44
2020-09-14,5.190289583866015e-44
2020-09-15,6.343379761943355e-44
2020-09-16,7.75264388509527e-44
2020-09-17,9.47499431922578e-44
2020-09-18,1.1579987250795325e-43
2020-09-19,1.4152631675618925e-43
2020-09-20,1.729682244097251e-43
2020-09-21,2.11395359825505e-43
2020-09-22,2.5835958198829453e-43
2020-09-23,3.157575154926075e-43
2020-09-24,3.8590714469642344e-43
2020-09-25,4.71641424260044e-43
2020-09-26,5.764226864807804e-43
2020-09-27,7.044824657015886e-43
2020-09-28,8.609923865263026e-43
2020-09-29,1.0522730170693398e-42
2020-09-30,1.2860491216647575e-42
2020-10-01,1.5717616212767837e-42
2020-10-02,1.9209488599632257e-42
2020-10-04,2.3477125746310328e-42
2020-10-05,2.8692873860193585e-42
2020-10-06,3.506736809493672e-42
2020-10-07,4.28580389366926e-42
2020-10-08,5.237950839442225e-42
2020-10-09,6.401629583878289e-42
2020-10-10,7.823834660798317e-42
2020-10-11,9.562001049492919e-42
2020-10-12,1.1686323655154157e-41
2020-10-13,1.4282592091982672e-41
2020-10-14,1.7455655250143337e-41
2020-10-15,2.1333655561226564e-41
2020-10-16,2.6073203960722663e-41
2020-10-17,3.1865704535560073e-41
2020-10-18,3.894508427415644e-41
2020-10-19,4.759724008074532e-41
2020-10-20,5.817158456651323e-41
2020-10-21,7.109515688805585e-41
